Exception_ID,Exception_Category,Priority,Department,Team,Employee_ID,Period,Metric,Metric_Value,Issue,Business_Impact,Recommended_Action
EXC-0132,Overtime Inefficiency,Medium,Sales,SAL-C,E0056,2026-06,Overtime Hours,10.38,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0133,Overtime Inefficiency,Medium,Sales,SAL-B,E0035,2026-06,Overtime Hours,9.31,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0134,Overtime Inefficiency,Medium,Sales,SAL-B,E0076,2026-08,Overtime Hours,11.67,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0135,Overtime Inefficiency,Medium,Sales,SAL-A,E0055,2026-08,Overtime Hours,11.45,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0136,Overtime Inefficiency,Medium,Technology,TEC-B,E0004,2026-02,Overtime Hours,14.59,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0137,Overtime Inefficiency,Medium,Technology,TEC-B,E0064,2026-03,Overtime Hours,9.48,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0138,Overtime Inefficiency,Medium,Technology,TEC-B,E0059,2026-04,Overtime Hours,10.29,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0139,Overtime Inefficiency,Medium,Technology,TEC-B,E0078,2026-04,Overtime Hours,10.24,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0140,Overtime Inefficiency,Medium,Technology,TEC-B,E0053,2026-05,Overtime Hours,11.21,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0141,Overtime Inefficiency,Medium,Technology,TEC-B,E0078,2026-06,Overtime Hours,15.32,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0142,Overtime Inefficiency,Medium,Technology,TEC-B,E0009,2026-06,Overtime Hours,10.09,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0143,Overtime Inefficiency,Medium,Technology,TEC-A,E0036,2026-06,Overtime Hours,9.49,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0144,Overtime Inefficiency,Medium,Technology,TEC-A,E0036,2026-07,Overtime Hours,15.7,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0145,Overtime Inefficiency,Medium,Technology,TEC-A,E0079,2026-07,Overtime Hours,14.96,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0146,Overtime Inefficiency,Medium,Technology,TEC-B,E0015,2026-07,Overtime Hours,14.64,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0147,Overtime Inefficiency,Medium,Technology,TEC-B,E0004,2026-07,Overtime Hours,14.58,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0148,Overtime Inefficiency,Medium,Technology,TEC-B,E0064,2026-07,Overtime Hours,11.46,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0149,Overtime Inefficiency,Medium,Technology,TEC-B,E0078,2026-08,Overtime Hours,15.13,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0150,Overtime Inefficiency,Medium,Technology,TEC-B,E0015,2026-08,Overtime Hours,13.01,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0151,Overtime Inefficiency,Medium,Technology,TEC-A,E0079,2026-08,Overtime Hours,12.33,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0152,Overtime Inefficiency,Medium,Technology,TEC-B,E0009,2026-08,Overtime Hours,10.32,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0153,Overtime Inefficiency,Medium,Technology,TEC-B,E0053,2026-08,Overtime Hours,10.27,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0154,Overtime Inefficiency,Medium,Technology,TEC-B,E0059,2026-08,Overtime Hours,9.93,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
